AETHALOMETER
Serial number = AE33-C06-00589
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;
2018/01/15 00:30:00 60 936372 386190 609724 897919 455349 646948 891434 500370 703426 907507 558351 761489 854600 608933 790912 669469 674128 824201 716863 662276 833676 3586 1418 5004 101325 21.11 24.5 26 40 0 0 10 10 00000 26 322 524 677 345 481 570 353 518 538 340 453 492 325 441 449 359 465 445 375 526 456 0.0066582 0.006810565 0.006938312 0.007097129 0.0073655 0.006899497 0.006712225 133
2018/01/15 00:31:00 60 936379 386040 609564 897925 455197 646818 891424 500215 703306 907507 558206 761376 854595 608786 790806 669504 674034 824175 716844 662138 833588 3587 1417 5004 101325 21.11 25.3 26 40 0 0 10 10 00000 26 306 529 644 335 517 553 325 439 495 321 464 463 325 448 450 353 390 438 362 398 439 0.006656417 0.006807745 0.006933116 0.007092825 0.007359624 0.006884281 0.006695629 133
2018/01/15 00:32:00 60 936391 385885 609410 897943 455057 646710 891428 500059 703190 907488 558037 761245 854608 608635 790716 669489 673894 824068 716864 662045 833538 3585 1419 5004 101325 21.11 30.2 26 40 0 0 10 10 00000 26 321 519 675 322 465 532 344 466 525 348 472 503 364 451 503 341 500 424 335 442 407 0.006654155 0.006803977 0.006927928 0.007087139 0.007350896 0.006880393 0.006686321 133
2018/01/15 00:33:00 60 936470 385774 609309 897967 454935 646611 891454 499936 703103 907579 557949 761211 854660 608550 790671 669543 673820 824067 716962 662021 833579 3585 1419 5004 101325 21.11 14.4 25 40 0 0 10 10 00000 26 288 489 606 290 447 479 300 421 457 319 452 460 277 411 383 351 381 435 344 440 418 0.006652176 0.00680089 0.006923208 0.007082246 0.007346256 0.006864275 0.006675936 133
2018/01/15 00:34:00 60 936424 385601 609122 897915 454743 646443 891422 499763 702947 907489 557737 761025 854644 608378 790548 669510 673644 823928 716876 661796 833383 3584 1420 5004 101325 21.11 11.1 25 40 0 0 10 10 00000 26 309 504 651 358 502 592 338 511 515 347 453 501 365 478 504 390 555 484 438 579 532 0.006649947 0.006796653 0.006920049 0.007075719 0.007339064 0.006860448 0.006669291 133
2018/01/15 00:35:00 60 936425 385458 608965 897938 454597 646338 891422 499616 702837 907547 557623 760961 854663 608238 790455 669518 673519 823858 716897 661701 833335 3583 1421 5004 101325 21.11 34.2 25 41 0 0 10 10 00000 26 288 506 606 341 467 563 320 430 488 332 461 479 349 488 482 364 450 452 344 436 418 0.006648174 0.006792007 0.006914556 0.007070404 0.007333582 0.006849362 0.006658368 133
2018/01/15 00:36:00 60 936490 385351 608871 898014 454506 646280 891481 499506 702775 907608 557526 760912 854691 608138 790409 669606 673503 823901 716982 661675 833370 3583 1421 5004 101325 21.11 21.0 26 41 0 0 10 10 00000 26 269 437 566 280 433 463 312 424 476 298 410 431 273 317 376 286 368 355 314 384 381 0.006645862 0.006788836 0.00690923 0.007064671 0.007323457 0.006838854 0.006645618 133
2018/01/15 00:37:00 60 936478 385219 608736 897992 454365 646165 891464 499380 702668 907547 557360 760774 854682 608014 790316 669564 673350 823786 716925 661526 833256 3583 1421 5004 101325 21.11 31.3 26 41 0 0 10 10 00000 26 256 408 538 281 381 464 254 366 387 285 356 412 267 373 369 303 357 376 290 288 352 0.00664344 0.006784143 0.006904664 0.007057155 0.007317153 0.00682558 0.006625574 133
2018/01/15 00:38:00 60 936459 385088 608591 897988 454238 646059 891466 499248 702564 907517 557216 760651 854647 607859 790191 669569 673258 823744 716920 661424 833192 3583 1421 5004 101325 21.11 25.3 26 41 0 0 10 10 00000 26 248 426 522 271 396 447 290 413 443 279 401 402 296 409 408 265 271 329 293 351 355 0.006641445 0.0067803 0.006900009 0.007052229 0.007310873 0.006808243 0.006612018 133
2018/01/15 00:39:00 60 936424 384943 608441 897930 454078 645910 891434 499103 702434 907444 557050 760512 854608 607706 790069 669544 673122 823636 716897 661307 833098 3583 1421 5004 101325 21.11 33.1 26 41 0 0 10 10 00000 26 263 409 553 283 412 467 277 410 423 269 319 388 285 379 393 303 436 376 288 405 350 0.006638916 0.00677652 0.006896049 0.007044079 0.00730377 0.006802651 0.006604761 133
2018/01/15 00:40:00 60 936443 384824 608317 897965 453968 645834 891461 498997 702366 907446 556922 760419 854609 607588 789997 669555 673013 823583 716909 661211 833043 3583 1421 5004 101325 21.11 16.6 25 41 0 0 10 10 00000 26 255 438 538 277 389 457 264 349 403 287 388 414 270 322 373 329 375 407 322 415 391 0.006636972 0.006772331 0.006890432 0.007038185 0.00729432 0.006788671 0.006594747 133
2018/01/15 00:41:00 60 936499 384722 608236 897982 453857 645750 891475 498878 702281 907509 556833 760373 854628 607476 789928 669565 672933 823536 716942 661146 833031 3583 1421 5004 101325 21.11 22.5 25 40 0 0 10 10 00000 26 252 377 530 259 370 428 277 375 422 283 405 409 286 382 394 246 335 305 287 303 348 0.006634269 0.006768338 0.006885228 0.007033322 0.007287447 0.006779754 0.006577161 133
2018/01/15 00:42:00 60 936443 384589 608080 897903 453692 645602 891435 498732 702160 907398 556645 760193 854577 607319 789798 669533 672788 823428 716890 660998 832905 3583 1421 5004 101325 21.11 22.2 26 40 0 0 10 10 00000 26 222 384 466 271 351 448 270 350 411 266 357 384 275 366 379 309 387 383 301 395 365 0.006632321 0.006763235 0.006879295 0.007027145 0.007280336 0.006769222 0.006567719 133
2018/01/15 00:43:00 60 936430 384460 607944 897933 453592 645527 891428 498613 702062 907433 556552 760137 854573 607208 789724 669520 672666 823344 716840 660852 832783 3583 1421 5004 101325 21.11 12.9 25 41 0 0 10 10 00000 26 249 410 525 250 371 412 251 362 383 254 350 367 246 310 340 298 384 369 301 385 365 0.006630168 0.006759725 0.006874954 0.007021547 0.007272146 0.006759576 0.006557314 133
